field_path	type	included_by_default	ghost_include_param	description	firestore_mapping_notes
avatar_image	string|null	yes		Member avatar image (gravatar URL or null if disabled)	
email_count	number	yes		Total newsletter emails sent to this member	
email_opened_count	number	yes		Total newsletter emails opened	
email_open_rate	number|null	yes		Open rate percentage 0-100 (or null)	
status	string	yes		Member status (free/paid/comped/gift)	
last_seen_at	string (ISO 8601)|null	yes		Most recent site activity timestamp	
comped	boolean	yes		True if complimentary subscription	
unsubscribe_url	string	yes		One-click unsubscribe URL	
can_comment	boolean	yes		True if permitted to comment	
commenting	object	yes		Comment moderation state: {disabled,disabled_reason,disabled_until}	
commenting.disabled	boolean	yes		Commenting disabled flag	
commenting.disabled_reason	string|null	yes		Reason for disabled commenting	
commenting.disabled_until	string|null	yes		When commenting will be re-enabled	
email_suppression	object	yes		Email suppression state: {suppressed,info}	
email_suppression.suppressed	boolean	yes		Suppressed (bounces/complaints) flag	
email_suppression.info	string|null	yes		Suppression reason/info	
attribution	object	no		Signup attribution (single-member endpoint only): {id,type,url,title,referrer_source,referrer_medium,referrer_url}	Use for marketing attribution fields in Firestore
attribution.id	string	no		Attribution id	
attribution.type	string	no		Attribution type	
attribution.url	string|null	no		Attribution URL	
attribution.title	string|null	no		Attribution title	
attribution.referrer_source	string|null	no		Referrer source	
attribution.referrer_medium	string|null	no		Referrer medium	
attribution.referrer_url	string|null	no		Referrer URL	
email_recipients	array<object>	no	include=email_recipients	Per-email delivery records for this member (only when included)	
